Employee,Study ID,Hours,Sheet
Jane_June2023,STUDY001,0.32,Sheet1
Jane_June2023,STUDY002,6.23,Sheet1
Jane_June2023,STUDY003,0.0,Sheet1
Jane_June2023,STUDY004,0.0,Sheet1
Jane_June2023,STUDY005,0.0,Sheet1
Jane_June2023,STUDY006,1.14,Sheet1
Jane_June2023,STUDY007,5.84,Sheet1
Jane_June2023,STUDY008,2.49,Sheet1
Jane_June2023,STUDY001,3.89,Sheet2
Jane_June2023,STUDY002,10.56,Sheet2
Jane_June2023,STUDY003,2.58,Sheet2
Jane_June2023,STUDY004,16.89,Sheet2
Jane_June2023,STUDY005,6.26,Sheet2
Jane_June2023,STUDY001,0.0,Sheet3
Jane_June2023,STUDY002,7.96,Sheet3
Jane_June2023,STUDY003,0.9,Sheet3
Jane_June2023,STUDY004,3.12,Sheet3
Jane_June2023,STUDY005,20.3,Sheet3
Jane_June2023,STUDY006,7.73,Sheet3
Jane_June2023,STUDY001,1.3,Sheet4
Jane_June2023,STUDY002,9.0,Sheet4
Jane_June2023,STUDY003,1.93,Sheet4
Jane_June2023,STUDY004,0.75,Sheet4
Jane_June2023,STUDY005,1.52,Sheet4
Jane_June2023,STUDY006,17.03,Sheet4
Jane_June2023,STUDY007,8.64,Sheet4
Jane_June2023,STUDY001,9.71,Sheet5
Jane_June2023,STUDY002,2.07,Sheet5
Jane_June2023,STUDY003,1.93,Sheet5
Jane_June2023,STUDY004,20.62,Sheet5
Jane_June2023,STUDY005,5.68,Sheet5
Joe_June2023,STUDY001,0.0,Sheet1
Joe_June2023,STUDY002,2.0,Sheet1
Joe_June2023,STUDY003,6.0,Sheet1
Joe_June2023,STUDY004,7.0,Sheet1
Joe_June2023,STUDY005,1.0,Sheet1
Joe_June2023,STUDY001,2.0,Sheet2
Joe_June2023,STUDY002,2.0,Sheet2
Joe_June2023,STUDY003,26.0,Sheet2
Joe_June2023,STUDY004,2.0,Sheet2
Joe_June2023,STUDY005,8.0,Sheet2
Joe_June2023,STUDY001,8.0,Sheet3
Joe_June2023,STUDY002,26.0,Sheet3
Joe_June2023,STUDY003,2.0,Sheet3
Joe_June2023,STUDY004,4.0,Sheet3
Joe_June2023,STUDY001,6.0,Sheet4
Joe_June2023,STUDY002,8.0,Sheet4
Joe_June2023,STUDY003,4.0,Sheet4
Joe_June2023,STUDY004,8.0,Sheet4
Joe_June2023,STUDY005,2.0,Sheet4
Joe_June2023,STUDY006,12.0,Sheet4
Joe_June2023,STUDY001,11.0,Sheet5
Joe_June2023,STUDY002,8.0,Sheet5
Joe_June2023,STUDY003,8.0,Sheet5
Joe_June2023,STUDY004,12.0,Sheet5
Joe_June2023,STUDY005,1.0,Sheet5
Kelly_june20203,STUDY001,2.32,Sheet1
Kelly_june20203,STUDY002,8.23,Sheet1
Kelly_june20203,STUDY003,2.0,Sheet1
Kelly_june20203,STUDY004,2.0,Sheet1
Kelly_june20203,STUDY005,2.0,Sheet1
Kelly_june20203,STUDY006,3.14,Sheet1
Kelly_june20203,STUDY007,7.84,Sheet1
Kelly_june20203,STUDY008,4.49,Sheet1
Kelly_june20203,STUDY001,5.890000000000001,Sheet2
Kelly_june20203,STUDY002,12.56,Sheet2
Kelly_june20203,STUDY003,4.58,Sheet2
Kelly_june20203,STUDY004,18.89,Sheet2
Kelly_june20203,STUDY005,8.26,Sheet2
Kelly_june20203,STUDY001,2.0,Sheet3
Kelly_june20203,STUDY002,9.96,Sheet3
Kelly_june20203,STUDY003,2.9,Sheet3
Kelly_june20203,STUDY004,5.12,Sheet3
Kelly_june20203,STUDY005,22.3,Sheet3
Kelly_june20203,STUDY006,9.73,Sheet3
Kelly_june20203,STUDY001,3.3,Sheet4
Kelly_june20203,STUDY002,11.0,Sheet4
Kelly_june20203,STUDY003,3.93,Sheet4
Kelly_june20203,STUDY004,2.75,Sheet4
Kelly_june20203,STUDY005,3.52,Sheet4
Kelly_june20203,STUDY006,19.03,Sheet4
Kelly_june20203,STUDY007,10.64,Sheet4
Kelly_june20203,STUDY001,11.71,Sheet5
Kelly_june20203,STUDY002,4.07,Sheet5
Kelly_june20203,STUDY003,3.93,Sheet5
Kelly_june20203,STUDY004,22.62,Sheet5
Kelly_june20203,STUDY005,7.68,Sheet5
